ym,parent,n_remits,applied
2026-03,KAISERNTAP,7,
2024-11,KaiserSTap,97,
2025-07,BCBSFL,26,
2025-04,KaiserSTap,63,
2024-08,AHP_RX,26,43805.5
2024-10,KaiserSTap,87,
2025-05,AHRP,306,342986.12
2026-07,MEDOH,11,587.79
2025-05,KAISERAMHI,1,
2026-08,HNA,103,163617.4
2026-09,BCBS_FACET,34,
2025-12,AHRP,358,245547.26
2025-05,BCBSFL,44,
2024-06,BCBSNC,17,310.74
2025-03,GEHA,346,801552.65
2024-08,OSCAR,395,1087414.01
2024-09,CAREFIRST,135,100957.27
2024-09,HNA_RX,3,
2024-11,GEHA,568,2657294.41
2026-05,KAISERAMNW,1,
2024-08,GHI,2,
2026-08,KAISER_PSC,4,
2025-04,CIGNA_FAC,2085,1633303.27
2024-07,CENFIDELIS,49,10385.5
2024-10,CEN_RX,1,
2026-06,HNENGLAND,1,3284.14
2026-01,OSC_RX,6,19882.77
2024-08,AEHMO,17,5507.31
2024-06,MEDOH,31,
2025-07,GEHA,257,425479.97
2025-07,HIP_RX,2,
2025-10,PREMERA,14,-5548.95
2026-06,AHRP,158,183601.79
2026-04,AEHMO_RX,2,
2026-03,KaiserSTap,28,
2024-12,KAISERCO,2,
2025-10,(no claim allocation),6,
2026-06,HNA_RX,3,7012.5
2025-12,KaiserAmN2,2,
2026-05,AHP_RX,28,60323.35
2025-11,AEHMO_RX,2,
2025-05,CENFIDELIS,83,33670.26
2024-11,GHI_RX,3,19127.47
2024-12,KaiserSTap,85,
2024-11,HNA,115,150857.14
2025-09,CENFIDELIS,186,27018.99
2025-03,CTCARE,1,
2024-06,KAISERAMNW,2,
2024-10,PREMERA,12,
2024-08,CEN,1090,1589146.92
2024-10,EMBLEM_FAC,338,1391426.81
2025-09,KAISERMTAP,9,
2026-02,(no claim allocation),3,
2026-07,KaiserSTap,12,
2025-07,AEHMO,3,
2026-09,KAISERMTAP,1,
2024-09,AETNA_CHK,9,10230.15
2024-07,KaiserAmM2,1,
2026-03,THP,2,
2025-04,GEHA,308,530010.19
2024-09,HSS_RX,1,
2026-03,BCBSNC,7,
2026-07,AHRP,185,283229.49
2025-06,AEHMO,7,1034.86
2026-05,BSCA_FAC,74,-791286.21
2025-06,HNENGLAND,16,1770.35
2026-03,KAISERAMGA,1,
2025-01,CAREFIRST,82,1409.11
2026-02,GEHA,325,626567.92
2025-09,KaiserHI,2,
2026-04,OSC_RX,7,126177.38
2025-05,CAREFIRST,95,37188.09
2025-05,AHRP_RX,23,43052.34
2025-07,MEDICADEAN,3,11542.3
2025-10,BSCA_FAC,84,-268586.48
2024-07,BCBSSC,15,
2024-09,EDW_C_NAS,5,
2026-04,CHRISTUS,10,396793.86
2026-05,HNA_RX,4,5950.6
2024-09,CEN_RX,4,3587.79
2025-12,CAREFIRST,79,
2024-09,HIP_RX,1,2524.43
2025-04,BCBSFL,15,
2026-07,CEN_RX,16,2427.93
2026-07,KAISERNW,1,
2025-02,KAISERNW,2,
2024-12,BCBSNC_RX,2,3856.06
2026-02,WELLCARE,4,62993.58
2025-12,CIGNA_POW,34,47291.41
2024-06,HIP_RX,5,22312.32
2025-12,CIGNA_FAC,1729,1760916.66
2026-05,THP,1,
2025-04,CAREFIRST,62,18373.62
2024-10,CAREFIRST,91,
2024-07,KAISERCO,4,
2026-05,MEDICA,57,153267.75
2026-07,KaiserAmbS,3,
2025-10,CENFIDELIS,47,2754.78
2026-04,KAISERAMCO,1,
2025-09,OSCAR,480,2347627.79
2026-08,HARVARDP,25,
2026-09,KAISERNW,2,
2025-04,CIGNA_POW,70,85970.35
2024-06,HNA,115,195035.55
2024-08,THP,7,91.18
2025-02,KaiserAmbS,12,
2025-08,CENFIDELIS,52,7781.15
2024-06,AHRP_RX,13,8348.83
2025-11,HNENGLAND,5,7466.12
2026-07,CIGNA_PRO,2974,1197704.81
2024-10,KAISERCO,1,
2025-12,OSCAR,568,2004837.59
2026-06,CENFIDELIS,62,18503.22
2024-12,CIGNA_FAC,1374,2335134.27
2025-09,BCBSNC,4,
2025-01,HIP_RX,26,85112.96
2025-11,OSC_RX,7,52054.55
2025-02,CEN_RX,1,1190.7
2026-04,BCBSNC,3,
2024-10,KaiserAmbS,24,
2024-08,GHI_RX,1,55440.0
2025-03,CENFIDELIS,94,62430.76
2025-06,KAISERNTAP,8,7093.37
2025-05,AHP,2296,1510777.95
2024-10,CIGNA_FAC,1473,1974126.97
2025-09,AHP_RX,16,28105.78
2026-08,OSCAR,410,834801.56
2025-11,BCBSNC,5,73.23
2024-12,BCBSVT,6,
2025-12,KAISERAMHI,1,
2026-06,PREMERA,27,
2024-09,EDW_WGS,12,
2025-08,AHP_RX,11,6166.41
2026-02,HAP_RX,2,9253.0
2026-05,AEHMO,2,66.74
2025-04,CEN_RX,3,9055.53
2025-07,KaiserAmN2,5,
2026-04,BCBSSC,17,
2026-07,BCBSNCF_RX,5,2388.72
2026-02,HNA_RX,2,
2024-08,CTCARE,1,
2026-09,AHP,765,459011.04
2024-07,AEHMO_RX,8,3089.26
2026-03,MEDICA,88,286151.06
2024-10,BCBSNC_RX,1,
2026-09,KAISERNTAP,1,
2024-12,KaiserAmbS,20,
2024-09,AHP,2428,1000687.16
2025-04,MMOH_RX,2,
2025-01,THP,6,
2025-04,AHP,2378,697463.9
2024-09,KaiserAmM2,3,
2025-02,CAREFIRST,127,18886.53
2026-09,CEN_RX,7,9575.65
2026-06,BSCA_FAC,20,-20532.82
2024-12,KaiserAmN2,8,
2025-12,AHP_RX,41,45911.57
2025-10,HSS_RX,3,11077.7
2024-09,(no claim allocation),2,
2025-03,HSS_RX,1,1184.89
2026-01,MEDICA,92,411827.44
2025-11,CENFIDELIS,52,8420.27
2025-02,MEDOH,16,4492.85
2025-09,KAISERCO,5,
2024-06,CIGNA_POW,48,91572.49
2026-06,CEN,1107,665767.05
2026-07,CIGNA_FAC,1913,1885899.9
2025-11,AEHMO,1,
2025-10,CHRISTUS,20,37894.69
2026-04,CEN,1021,733593.83
2025-10,MEDICA,64,287921.4
2024-10,HIP_RX,8,77639.78
2026-03,THP_MEDPRF,19,18088.04
2025-04,HNA_RX,1,3542.4
2025-02,KaiserAmN2,10,
2026-01,THP_MEDPRF,18,4489.89
2025-07,HSS_RX,3,28146.98
2026-01,BCBSKS,3,
2024-06,GHI,6,11314.13
2025-07,CEN,1157,1805147.6
2026-02,THP_PUBLIC,6,-3117.26
2024-08,CHRISTUS,18,53134.64
2024-10,KaiserAmN2,15,
2025-06,AEHMO_RX,1,3399.0
2024-12,AHP,2088,1530817.7
2024-11,CHRISTUS,20,35781.15
2026-04,CENFIDELIS,46,204263.36
2026-02,CHRISTUS,14,8307.8
2024-10,AETNA_CHK,5,15011.41
2026-01,CHRISTUS,12,2658.23
2024-07,AETNA_CHK,4,2079.67
2025-06,OSCAR,483,890620.36
2024-06,AETNA_CHK,6,223.01
2024-07,CHRISTUS,15,2144.55
2025-08,GEHA,246,345307.71
2024-06,KAISERNW,1,2683.68
2025-05,CEN_RX,6,12812.7
2024-09,AHP_RX,15,16506.4
2024-11,CIGNA_PRO,1976,2705878.94
2025-09,HNA_RX,3,9969.78
2025-07,(no claim allocation),2,
2024-12,GHI,4,
2025-06,MEDICA,47,212612.65
2025-03,KAISERMTAP,26,
2025-05,KaiserSTap,40,5493.54
2025-11,BCBSSC,20,1580.6
2025-08,MEDICADEAN,7,569.69
2026-09,BCBSNC,4,
2025-10,KAISERMTAP,2,
2025-07,GHI_RX,1,10278.17
2026-09,KaiserAmbS,1,
2024-11,AHRP_RX,31,51191.73
2026-06,BCBSKS,5,0.0
2026-07,AHRP_RX,16,2165.27
2024-07,(no claim allocation),6,
2025-12,CEN_RX,13,18114.02
2026-06,(no claim allocation),12,79.88
2024-11,KaiserAmM2,1,
2024-08,KAISERMTAP,10,
2025-01,KAISERAMHI,5,2676.52
2025-04,MEDOH,19,157126.87
2025-06,MEDICADEAN,8,-7182.03
2026-05,MMOH_RX,3,
2026-07,PREMERA,7,
2025-03,HNENGLAND,5,20022.5
2026-08,BCBS_FACET,2,
2025-05,PREMERA,17,-5814.76
2026-08,WELLCARE,3,610.17
2026-06,KAISERMTAP,2,
2024-09,HAP_RX,1,21215.65
2026-02,KAISERGA,6,
2024-11,PREMERA,32,0.0
2025-02,BCBSNC,8,
2025-01,GHI_RX,15,32048.26
2026-05,(no claim allocation),10,-81.58
2024-06,BCBSFL,48,26753.18
2026-04,HNENGLAND,10,3864.36
2026-07,WELLCARE,7,681.8
2025-09,AETNA_CHK,11,11758.16
2025-05,KAISER_PSC,1,
2025-03,BCBSKS,23,
2026-09,AHRP_RX,8,
2024-08,(no claim allocation),41,
2026-06,AEHMO,1,
2026-09,HARVARDP,14,
2024-07,BCBSKS,8,
2026-02,THP,5,740.0
2026-07,KAISER_PNC,5,
2025-05,HIP_RX,9,18324.65
2026-07,KaiserAmN2,4,
2026-04,MEDICADEAN,3,23201.2
2025-10,BCBSFL,17,
2025-10,HNENGLAND,6,727.03
2026-08,BCBSSC,14,
2026-08,AETNA_CHK,8,15525.75
2026-02,AHP_RX,24,134154.35
2024-12,HIP_RX,8,38872.67
2025-02,GHI,2,
2025-08,THP_MEDPRF,9,4356.69
2024-11,CIGNA_FAC,1138,1505772.98
2025-05,MEDOH,18,5896.15
2026-01,BSCA_FAC,70,-157269.59
2026-04,AETNA_CHK,5,
2025-12,GHI,1,229.88
2025-03,THP_MEDPRF,23,36658.79
2026-09,CIGNA_PRO,1161,912946.19
2025-07,HNA,127,220675.31
2025-12,MEDOH,15,5851.45
2026-05,THP_MEDPRF,3,2536.7
2026-08,AHP,1905,864805.29
2026-03,BCBSKS,9,
2026-06,GHI_RX,2,1064.4
2025-11,KAISERNTAP,3,
2025-12,CENFIDELIS,43,4473.1
2026-03,AHP_RX,23,2386.06
2026-06,OSC_RX,3,2086.42
2026-06,MEDICA,52,83109.75
2026-06,THP_MEDPRF,2,498.99
2024-07,THP,7,5701.71
2025-10,GEHA,304,335811.08
2025-11,AETNA_CHK,6,717.6
2025-01,AEHMO,3,
2026-08,KAISER_PNC,4,
2026-04,HNA_RX,1,
2025-08,(no claim allocation),9,-46663.86
2024-07,EMBLEM_FAC,250,340697.76
2024-08,MEDICA,151,787712.97
2026-04,KAISERMTAP,4,
2026-08,PREMERA,8,0.0
2026-07,KAISERGA,1,
2024-09,AHRP,327,596217.01
2026-03,MEDICADEAN,3,
2026-05,CENFIDELIS,59,38423.22
2026-08,CIGNA_POW,62,129402.28
2026-02,KAISERMTAP,6,
2025-01,CHRISTUS,9,537.66
2026-01,HNENGLAND,6,5944.55
2026-04,KAISERNTAP,5,
2026-08,MEDOH,18,96747.68
2026-07,AHP,2161,1726875.02
2025-07,OSC_RX,11,14850.44
2024-11,BCBSKS,6,
2025-08,MEDICA,75,397186.48
2026-01,KAISERNTAP,5,
2024-06,AHP,2417,483652.7
2026-01,GEHA,305,323202.9
2024-07,AHP_RX,28,215079.4
2026-07,CAREFIRST,58,3641.62
2025-12,WELLCARE,9,19168.37
2024-12,HNA,104,146950.44
2024-10,HNA,218,391396.53
2026-01,KAISERMTAP,15,238.46
2024-12,AETNA_CHK,14,16444.89
2025-10,AEHMO,3,
2026-08,BCBSNC,14,
2025-07,AHP_RX,11,26769.88
2025-02,AHRP_RX,25,12540.32
2025-03,AHP_RX,28,258982.51
2024-10,GHI,11,1749.32
2026-02,MEDICADEAN,2,1164.8
2026-06,CHRISTUS,8,6751.58
2025-12,KaiserSTap,32,
2025-03,AHRP,384,794158.33
2024-09,CEN,1043,1867678.05
2026-02,AEHMO_RX,1,
2026-03,OSCAR,736,1743079.23
2026-06,HSS_RX,2,1138.0
2026-02,AHRP,203,154789.15
2026-04,OSCAR,634,1891156.23
2025-06,EMBLEM_FAC,285,225117.75
2026-08,KAISERNW,1,
2025-11,CEN,1146,761494.81
2025-09,EMBLEM_FAC,257,197494.31
2025-05,HNA,152,140243.79
2026-02,OSC_RX,2,7377.97
2026-05,AEHMO_RX,1,
2024-12,CIGNA_PRO,2056,2853290.36
2026-09,BCBS_NASCO,1,
2025-01,CENFIDELIS,99,18085.37
2025-01,CEN,1107,1326269.12
2024-11,EMBFAC_RX,7,145058.09
2026-08,CEN_RX,29,8588.82
2026-02,HNENGLAND,1,
2025-02,AETNA_CHK,5,316.87
2026-08,CIGNA_PRO,2977,1816988.03
2026-03,EMBLEM_FAC,342,446034.26
2025-07,CHRISTUS,9,2162.87
2026-01,MEDICADEAN,3,5904.64
2025-12,GEHA,340,479895.26
2024-10,CIGNA_PRO,2229,3050224.8
2024-10,AHP,2527,828090.63
2025-03,KaiserAmM2,1,
2025-08,KAISERMTAP,3,
2024-06,CAREFIRST,101,497021.08
2024-12,BCBSFL,1,332.0
2025-07,THP,3,9160.21
2025-05,GEHA,236,504143.37
2025-01,(no claim allocation),4,
2025-10,THP_MEDPRF,6,732.13
2026-09,CIGNA_FAC,692,460804.13
2024-10,KAISERGA,2,
2024-09,THP,4,789.21
2026-09,MEDOH,4,828.46
2025-03,HNA_RX,2,11315.02
2026-01,OSCAR,486,916202.54
2025-02,HNA,130,244167.32
2025-06,BCBSSC,4,57.0
2025-06,KAISERCO,2,
2025-04,KaiserAmN2,3,
2026-01,BCBSFL,30,
2026-09,KAISERAMNW,1,
2026-01,AEHMO,1,
2025-03,GHI_RX,4,5157.28
2026-05,GEHA,335,451507.18
2026-03,BCBSSC,10,
2024-09,CHRISTUS,17,6161.18
2026-05,KAISERMTAP,6,
2024-11,CEN,1251,1400550.41
2025-05,CIGNA_POW,52,31605.03
2026-09,BCBSSC,22,
2025-12,KAISER_PSC,12,205.88
2026-03,KAISER_PNC,3,
2024-08,BCBSFL,6,
2024-07,BCBSNC_RX,1,1539.79
2026-04,BCBSKS,8,
2026-07,HNA,150,122683.25
2025-09,MEDICADEAN,5,7869.07
2026-05,BCBSFL,6,
2024-10,BCBSNC,4,
2025-03,CHRISTUS,21,29259.03
2024-06,CIGNA_PRO,1970,3467259.8
2025-03,AEHMO,1,16620.42
2025-01,CTCARE,2,16821.61
2025-02,BCBSSC,29,
2025-05,KAISERGA,1,
2025-06,THP_MEDPRF,12,845.67
2024-06,KaiserAmN2,10,0.0
2025-08,HNENGLAND,5,1066.72
2025-07,HNENGLAND,7,-2795.0
2024-09,CTCARE,1,97.94
2025-07,KaiserAmM2,1,
2024-08,AEHMO_RX,2,624.68
2024-08,KAISERNTAP,35,
2026-09,PREMERA,4,
2026-07,BCBS_NASCO,13,
2025-05,KaiserAmN2,5,
2025-07,THP_MEDPRF,5,1286.41
2025-10,OSC_RX,12,20184.5
2024-11,AHP_RX,14,11564.88
2026-05,AHRP,181,168535.54
2025-03,CEN,1183,4889615.28
2025-01,AHP_RX,14,16505.16
2025-01,KAISERMTAP,18,
2026-02,HSS_RX,5,14202.13
2025-10,MEDICADEAN,1,651.9
2025-08,OSC_RX,2,1249.34
2025-10,AHP_RX,16,55372.85
2026-02,ASH,1,
2025-02,CIGNA_PRO,2478,3041937.6
2024-09,AEHMO,7,1564.14
2026-09,CIGNA_POW,26,3649.83
2025-12,HIP_RX,2,90344.64
2026-05,OSC_RX,3,14359.28
2026-04,(no claim allocation),48,
2024-06,CEN_RX,4,7810.73
2026-05,HNENGLAND,3,198.06
2025-04,HNA,182,124037.64
2024-11,CENFIDELIS,90,52447.11
2025-07,AHRP,371,895771.58
2024-08,BCBSKS,24,
2025-03,MEDICADEAN,6,9560.61
2024-09,KAISERMTAP,8,
2025-03,(no claim allocation),5,
2025-04,HIP_RX,13,38536.12
2025-02,CIGNA_POW,33,74770.93
2025-10,BCBSKS,13,
2026-06,MEDICADEAN,3,-2076.64
2025-02,CIGNA_FAC,1415,1228680.53
2026-04,EMBLEM_FAC,183,239331.5
2026-07,HARVARDP,17,
2025-01,BCBSFL,13,
2024-09,BCBSFL,8,
2026-08,BCBS_DC,1,
2025-03,OSC_RX,1,9773.4
2024-12,CAREFIRST,54,30105.2
2025-11,EMBLEM_FAC,219,218697.33
2026-08,CAREFIRST,27,1723.29
2026-02,THP_MEDPRF,6,2702.98
2026-07,KAISERAMNW,2,
2026-06,ASH,1,
2024-12,KaiserAmM2,1,
2025-09,CIGNA_POW,73,128226.74
2025-05,BCBSNC,22,-52327.51
2026-04,CIGNA_POW,37,46966.1
2025-11,CIGNA_POW,38,11927.77
2025-06,CIGNA_PRO,2921,2982241.29
2024-06,HSS_RX,2,140007.84
2024-11,THP_MEDPRF,11,5332.71
2026-09,MEDICA,18,70061.0
2025-06,KaiserAmbS,7,
2026-01,KaiserAmN2,3,
2026-06,BCBSSC,39,
2026-05,KaiserAmN2,7,
2024-09,CIGNA_FAC,1237,1831116.37
2024-09,GHI,6,2824.95
2024-06,AEHMO,12,15269.92
2025-09,GEHA,291,624407.46
2025-10,BCBSSC,19,
2026-02,BCBSNC,1,
2026-07,THP_MEDPRF,3,46898.72
2025-08,MEDOH,21,172353.26
2024-08,HIP_RX,4,31195.16
2025-12,MEDICA,85,428508.39
2026-08,MEDICADEAN,4,174926.06
2024-07,AHP,2923,909953.15
2026-05,BCBS_NASCO,5,
2025-10,CAREFIRST,185,0.0
2026-06,WELLCARE,4,556.26
2024-08,CAREFIRST,57,5466.85
2025-06,BSCA_FAC,22,
2024-06,PREMERA,17,-18786.29
2026-07,CIGNA_POW,41,82477.48
2026-05,KaiserAmM2,2,
2025-01,BCBSKS,19,
2026-01,KaiserAmM2,2,
2026-03,CHRISTUS,14,37115.74
2024-06,EMBLEM_FAC,182,235561.51
2024-09,BCBSKS,4,
2025-06,CHRISTUS,24,7922.29
2025-06,AETNA_CHK,7,33001.67
2025-01,HNA,142,276222.34
2024-11,CIGNA_POW,28,47346.31
2026-03,CEN,1159,1995087.3
2025-06,CEN,1157,1622869.53
2025-06,(no claim allocation),3,
2026-03,AETNA_CHK,11,-12706.72
2026-07,BCBS_FACET,9,165.19
2026-06,KAISERAMCO,2,
2026-02,BCBSFL,4,
2026-03,KaiserAmbS,8,
2025-01,KAISERAMGA,3,
2026-04,THP_MEDPRF,4,171.7
2025-09,THP_MEDPRF,6,1150.65
2025-11,THP_MEDPRF,5,1199.07
2026-08,KaiserAmN2,2,
2024-12,MEDOH,24,10364.31
2024-10,MEDOH,22,960.84
2026-01,AHRP,160,302630.63
2025-10,THP,1,9169.16
2025-11,OSCAR,423,1750655.93
2026-05,MEDICADEAN,2,2891.8
2025-02,AHP,2101,1251998.64
2025-09,KAISERNTAP,7,
2024-07,KAISERNTAP,23,
2025-01,HNA_RX,2,2356.2
